Gene	tpm_avg
Zm00001eb000010	4.5505355
Zm00001eb000020	11.5101485
Zm00001eb000030	0
Zm00001eb000040	0
Zm00001eb000050	0
Zm00001eb000060	8.808299
Zm00001eb000070	0
Zm00001eb000080	5.961324
Zm00001eb000090	0
Zm00001eb000100	0
Zm00001eb000110	0
Zm00001eb000120	0.9329955
Zm00001eb000130	0
Zm00001eb000140	0
Zm00001eb000150	0.9077685
Zm00001eb000160	0
Zm00001eb000170	4.9244075
Zm00001eb000180	0
Zm00001eb000190	2.692121
Zm00001eb000200	0.633451
Zm00001eb000210	6.9514005
Zm00001eb000220	18.35001
Zm00001eb000230	20.379976
Zm00001eb000240	38.0257155
Zm00001eb000250	0
Zm00001eb000260	0
Zm00001eb000270	2.8428565
Zm00001eb000280	3.9648755
Zm00001eb000290	0
Zm00001eb000300	1.8076345
Zm00001eb000310	0.9710195
Zm00001eb000320	6.5947175
Zm00001eb000330	3.068917
Zm00001eb000340	5.469945
Zm00001eb000350	0.061053
Zm00001eb000360	0
Zm00001eb000370	0.24656
Zm00001eb000380	1.7644955
Zm00001eb000390	0.056294
Zm00001eb000400	0.0787575
Zm00001eb000410	0.1601075
Zm00001eb000420	331.492292
Zm00001eb000430	0
Zm00001eb000440	0.6280305
Zm00001eb000450	657.2928125
Zm00001eb000460	0.215947
Zm00001eb000470	9.835617
Zm00001eb000480	105.800958
Zm00001eb000490	24.6385005
Zm00001eb000500	5.472859
Zm00001eb000510	82.6596925
Zm00001eb000520	4.2858945
Zm00001eb000530	0
Zm00001eb000540	0.376627
Zm00001eb000550	30.0540705
Zm00001eb000560	0
Zm00001eb000570	0.764905
Zm00001eb000580	0
Zm00001eb000590	13.4266805
Zm00001eb000600	0.6327435
Zm00001eb000610	0
Zm00001eb000620	216.7728225
Zm00001eb000630	0.036924
Zm00001eb000640	0.8349215
Zm00001eb000650	1.709919
Zm00001eb000660	1.174134
Zm00001eb000670	29.3148145
Zm00001eb000680	0.6529745
Zm00001eb000690	11.702456
Zm00001eb000700	136.178383
Zm00001eb000710	11.266574
Zm00001eb000720	11.5087365
Zm00001eb000730	0
Zm00001eb000740	66.994388
Zm00001eb000750	42.677603
Zm00001eb000760	31.540804
Zm00001eb000770	120.5034345
Zm00001eb000780	16.644107
Zm00001eb000790	0.8899915
Zm00001eb000800	30.1799025
Zm00001eb000810	0
Zm00001eb000820	12.249004
Zm00001eb000830	0
Zm00001eb000840	99.2123815
Zm00001eb000850	793.948903
Zm00001eb000860	7.4487135
Zm00001eb000870	5.660323
Zm00001eb000880	17.0781855
Zm00001eb000890	7.6234165
Zm00001eb000900	0.0739295
Zm00001eb000910	4.7492665
Zm00001eb000920	16.757874
Zm00001eb000930	1.0632885
Zm00001eb000940	0
Zm00001eb000950	26.166771
Zm00001eb000960	0.198074
Zm00001eb000970	37.9464715
Zm00001eb000980	2.1875065
Zm00001eb000990	5.6746385
Zm00001eb001000	11.3458985
Zm00001eb001010	4.5704965
Zm00001eb001020	7.234501
Zm00001eb001030	0
Zm00001eb001040	12.876331
Zm00001eb001050	6.6794135
Zm00001eb001060	0.8078795
Zm00001eb001070	8.671872
Zm00001eb001080	7.1336845
Zm00001eb001090	0
Zm00001eb001100	0
Zm00001eb001110	18.3642885
Zm00001eb001120	1.8098715
Zm00001eb001130	6.505309
Zm00001eb001140	316.7677775
Zm00001eb001150	4.4115115
Zm00001eb001160	1.02736
Zm00001eb001170	29.9790675
Zm00001eb001180	19.794452
Zm00001eb001190	1.185728
Zm00001eb001200	87.50982
Zm00001eb001210	0.0744685
Zm00001eb001220	3.650031
Zm00001eb001230	0
Zm00001eb001240	14.959015
Zm00001eb001250	0
Zm00001eb001260	7.7155115
Zm00001eb001270	9.9131885
Zm00001eb001280	8.6207335
Zm00001eb001290	28.2820925
Zm00001eb001300	0
Zm00001eb001310	0
Zm00001eb001320	0
Zm00001eb001330	0
Zm00001eb001340	4.5252715
Zm00001eb001350	1.9247535
Zm00001eb001360	11.736033
Zm00001eb001370	0.149904
Zm00001eb001380	0
Zm00001eb001390	4.8915235
Zm00001eb001400	25.5993165
Zm00001eb001410	0
Zm00001eb001420	0
Zm00001eb001430	13.6959245
Zm00001eb001440	0.0378025
Zm00001eb001450	0
Zm00001eb001460	3.2217665
Zm00001eb001470	58.883394
Zm00001eb001480	0
Zm00001eb001490	16.2599675
Zm00001eb001500	4.0392985
Zm00001eb001510	6.695398
Zm00001eb001520	2.5492395
Zm00001eb001530	2.2659035
Zm00001eb001540	0
Zm00001eb001550	5.1277315
Zm00001eb001560	14.9846315
Zm00001eb001570	11.1543245
Zm00001eb001580	0
Zm00001eb001590	4.5334895
Zm00001eb001600	2.1276875
Zm00001eb001610	0
Zm00001eb001620	0
Zm00001eb001630	9.2500755
Zm00001eb001640	253.154831
Zm00001eb001650	371.653412
Zm00001eb001660	0
Zm00001eb001670	3.41092
Zm00001eb001680	49.455039
Zm00001eb001690	0.112087
Zm00001eb001700	12.249634
Zm00001eb001710	8.866877
Zm00001eb001720	26.45385
Zm00001eb001730	0.278483
Zm00001eb001740	0
Zm00001eb001750	0
Zm00001eb001760	0.693673
Zm00001eb001770	15.293614
Zm00001eb001780	2.105156
Zm00001eb001790	0
Zm00001eb001800	0
Zm00001eb001810	11.527102
Zm00001eb001820	0.7241545
Zm00001eb001830	21.8771685
Zm00001eb001840	239.384675
Zm00001eb001850	1.717685
Zm00001eb001860	32.7533655
Zm00001eb001870	29.919991
Zm00001eb001880	61.735905
Zm00001eb001890	16.6652295
Zm00001eb001900	10.4447405
Zm00001eb001910	8.890965
Zm00001eb001920	0.3130165
Zm00001eb001930	69.002145
Zm00001eb001940	79.5414025
Zm00001eb001950	529.599309
Zm00001eb001960	0
Zm00001eb001970	4.6356445
Zm00001eb001980	4.0282245
Zm00001eb001990	0.080764
Zm00001eb002000	11.5583165
Zm00001eb002010	0.656935
Zm00001eb002020	6.225221
Zm00001eb002030	1.5420175
Zm00001eb002040	8.6746955
Zm00001eb002050	0
Zm00001eb002060	126.84797
Zm00001eb002070	32.9112865
Zm00001eb002080	0
Zm00001eb002090	44.0810395
Zm00001eb002100	5.635488
Zm00001eb002110	0
Zm00001eb002120	1.0148805
Zm00001eb002130	0
Zm00001eb002140	0
Zm00001eb002150	0
Zm00001eb002160	7.381671
Zm00001eb002170	6.324935
Zm00001eb002180	30.1176215
Zm00001eb002190	10.164066
Zm00001eb002200	0.045313
Zm00001eb002210	0
Zm00001eb002220	18.508434
Zm00001eb002230	0
Zm00001eb002240	1.696597
Zm00001eb002250	17.5195035
Zm00001eb002260	42.20514
Zm00001eb002270	456.2027515
Zm00001eb002280	0.1643915
Zm00001eb002290	0.0952525
Zm00001eb002300	0
Zm00001eb002310	0.119956
Zm00001eb002320	39.8242455
Zm00001eb002330	0
Zm00001eb002340	0
Zm00001eb002350	0
Zm00001eb002360	0
Zm00001eb002370	0
Zm00001eb002380	1.5473485
