Gene	tpm_avg
ENSRNA049910397	0
ENSRNA049910400	0
ENSRNA049910402	0
ENSRNA049910404	0
ENSRNA049910416	0
ENSRNA049910418	0
ENSRNA049910421	0
ENSRNA049910422	0
ENSRNA049910424	0
ENSRNA049910432	0
ENSRNA049910438	0
ENSRNA049910441	0
ENSRNA049910443	0
ENSRNA049910445	0
ENSRNA049910448	0
ENSRNA049910450	0
ENSRNA049910452	0
ENSRNA049910453	0
ENSRNA049910455	0
ENSRNA049910457	0
ENSRNA049910458	0
ENSRNA049910460	0
ENSRNA049910461	0
ENSRNA049910465	0
ENSRNA049910467	0
ENSRNA049910477	0
ENSRNA049910479	0
ENSRNA049910484	0
ENSRNA049910490	0
ENSRNA049910491	0
ENSRNA049910495	0
ENSRNA049910496	0
ENSRNA049910510	0
ENSRNA049910512	0
ENSRNA049910516	0
ENSRNA049910520	0
ENSRNA049910537	0
ENSRNA049910548	0
ENSRNA049910562	0
ENSRNA049910570	0
ENSRNA049910573	0
ENSRNA049910593	0
ENSRNA049910604	0
ENSRNA049910607	0
ENSRNA049910615	0
ENSRNA049910634	0
ENSRNA049910649	0
ENSRNA049910651	0
ENSRNA049910657	0
ENSRNA049910670	0
ENSRNA049910671	0
ENSRNA049910681	0
ENSRNA049910683	0
ENSRNA049910685	0
ENSRNA049910691	0
ENSRNA049910700	0
ENSRNA049910736	0
ENSRNA049910746	0
ENSRNA049910764	0
ENSRNA049910766	0
ENSRNA049910784	0
ENSRNA049910791	0
ENSRNA049910802	0
ENSRNA049910810	0
ENSRNA049910815	0
ENSRNA049910825	0
ENSRNA049910833	0
ENSRNA049910846	0
ENSRNA049910848	0
ENSRNA049910855	0
ENSRNA049910857	0
ENSRNA049910862	0
ENSRNA049910880	0
ENSRNA049910884	0
ENSRNA049910886	0
ENSRNA049910888	0
ENSRNA049910900	0
ENSRNA049910902	0
ENSRNA049910905	0
ENSRNA049910907	0
ENSRNA049910908	0
ENSRNA049910910	0
ENSRNA049910911	0
ENSRNA049910913	0
ENSRNA049910918	0
ENSRNA049910919	0
ENSRNA049910926	0
ENSRNA049910935	0
ENSRNA049910939	0
ENSRNA049910941	0
ENSRNA049910949	0
ENSRNA049910953	0
ENSRNA049910955	0
ENSRNA049910958	0
ENSRNA049910961	0
ENSRNA049910963	0
ENSRNA049910964	0
ENSRNA049910966	0
ENSRNA049910969	0
ENSRNA049910971	0
ENSRNA049910974	0
ENSRNA050011849	0
ENSRNA050011852	0
ENSRNA050011854	0
ENSRNA050011855	0
ENSRNA050011858	0
ENSRNA050011859	17.6710575
ENSRNA050011862	0
ENSRNA050011864	0
ENSRNA050011866	0
ENSRNA050011870	0
ENSRNA050011873	0
ENSRNA050011875	0
ENSRNA050011877	0
ENSRNA050011879	0
ENSRNA050011881	0
ENSRNA050011885	0
ENSRNA050011886	0
ENSRNA050011888	19.8496435
ENSRNA050011890	0
ENSRNA050011892	0
ENSRNA050011894	0
ENSRNA050011897	0
ENSRNA050011898	0
ENSRNA050011906	0
ENSRNA050011909	0
ENSRNA050011912	0
ENSRNA050011914	0
ENSRNA050011916	9.164168
ENSRNA050011920	0
ENSRNA050011922	0
ENSRNA050011924	0
ENSRNA050011926	0
ENSRNA050011929	0
ENSRNA050011939	4.5139175
ENSRNA050011940	0
ENSRNA050011942	0
