TXNAME	GENEID
KQL27674	SETIT_016158mg
KQL27675	SETIT_018185mg
KQL27676	SETIT_017130mg
KQL27677	SETIT_017130mg
KQL27680	SETIT_020621mg
KQL27681	SETIT_018367mg
KQL27682	SETIT_020212mg
KQL27683	SETIT_019109mg
KQL27686	SETIT_019749mg
KQL27688	SETIT_017542mg
KQL27694	SETIT_019569mg
KQL27696	SETIT_018637mg
KQL27698	SETIT_018637mg
KQL27699	SETIT_018637mg
KQL27700	SETIT_018637mg
KQL27697	SETIT_018637mg
KQL27703	SETIT_018529mg
KQL27705	SETIT_016426mg
KQL27707	SETIT_016700mg
KQL27706	SETIT_016700mg
ENSRNA049910886-T1	ENSRNA049910886
KQL27709	SETIT_016141mg
KQL27710	SETIT_016141mg
KQL27712	SETIT_020505mg
KQL27719	SETIT_017621mg
KQL27722	SETIT_019985mg
KQL27721	SETIT_020469mg
KQL27723	SETIT_016825mg
KQL27724	SETIT_018031mg
KQL27725	SETIT_018291mg
KQL27726	SETIT_018291mg
KQL27727	SETIT_018291mg
KQL27728	SETIT_016087mg
KQL27729	SETIT_016087mg
KQL27731	SETIT_016850mg
KQL27730	SETIT_020440mg
KQL27732	SETIT_017639mg
KQL27733	SETIT_019533mg
KQL27734	SETIT_016881mg
KQL27737	SETIT_016887mg
KQL27738	SETIT_019781mg
KQL27744	SETIT_017361mg
KQL27743	SETIT_020531mg
KQL27745	SETIT_017635mg
KQL27747	SETIT_016063mg
KQL27748	SETIT_017818mg
KQL27753	SETIT_017406mg
KQL27754	SETIT_017406mg
KQL27756	SETIT_016712mg
KQL27759	SETIT_019113mg
KQL27763	SETIT_020472mg
KQL27765	SETIT_016973mg
KQL27766	SETIT_020517mg
KQL27771	SETIT_018889mg
KQL27770	SETIT_018889mg
KQL27773	SETIT_016437mg
KQL27774	SETIT_018581mg
KQL27776	SETIT_017325mg
KQL27777	SETIT_018002mg
KQL27778	SETIT_018002mg
KQL27781	SETIT_017105mg
KQL27786	SETIT_017048mg
KQL27788	SETIT_018264mg
KQL27794	SETIT_019519mg
KQL27797	SETIT_020507mg
KQL27800	SETIT_018427mg
KQL27799	SETIT_018427mg
KQL27801	SETIT_019537mg
KQL27803	SETIT_018358mg
KQL27804	SETIT_019761mg
KQL27805	SETIT_019805mg
KQL27807	SETIT_020230mg
KQL27808	SETIT_020528mg
KQL27809	SETIT_019449mg
KQL27813	SETIT_019558mg
KQL27814	SETIT_020348mg
KQL27816	SETIT_017757mg
KQL27817	SETIT_019730mg
KQL27818	SETIT_017880mg
KQL27820	SETIT_020256mg
KQL27824	SETIT_020586mg
KQL27832	SETIT_020624mg
KQL27833	SETIT_018321mg
KQL27835	SETIT_016628mg
KQL27834	SETIT_020584mg
KQL27838	SETIT_016657mg
KQL27837	SETIT_016657mg
KQL27839	SETIT_016295mg
KQL27840	SETIT_017040mg
KQL27841	SETIT_020267mg
KQL27843	SETIT_017482mg
KQL27845	SETIT_019659mg
KQL27846	SETIT_017774mg
KQL27855	SETIT_016638mg
KQL27856	SETIT_020209mg
KQL27857	SETIT_020398mg
KQL27858	SETIT_017876mg
KQL27859	SETIT_018670mg
KQL27860	SETIT_019866mg
KQL27861	SETIT_019220mg
KQL27869	SETIT_019438mg
KQL27870	SETIT_018158mg
ENSRNA049910888-T1	ENSRNA049910888
ENSRNA049910890-T1	ENSRNA049910890
ENSRNA049910893-T1	ENSRNA049910893
ENSRNA049910896-T1	ENSRNA049910896
ENSRNA049910898-T1	ENSRNA049910898
ENSRNA049910900-T1	ENSRNA049910900
KQL27873	SETIT_020289mg
KQL27874	SETIT_020263mg
KQL27875	SETIT_016486mg
KQL27876	SETIT_016486mg
KQL27877	SETIT_016203mg
KQL27879	SETIT_018878mg
KQL27883	SETIT_018904mg
KQL27884	SETIT_017209mg
KQL27889	SETIT_019055mg
KQL27890	SETIT_019534mg
KQL27892	SETIT_019018mg
KQL27893	SETIT_019553mg
KQL27894	SETIT_019285mg
KQL27895	SETIT_019456mg
KQL27896	SETIT_019776mg
KQL27897	SETIT_020324mg
KQL27899	SETIT_020090mg
KQL27901	SETIT_019747mg
KQL27902	SETIT_019592mg
KQL27903	SETIT_020043mg
KQL27904	SETIT_019454mg
KQL27905	SETIT_019658mg
KQL27907	SETIT_019514mg
KQL27908	SETIT_019155mg
KQL27909	SETIT_019453mg
KQL27914	SETIT_018773mg
KQL27922	SETIT_016455mg
KQL27923	SETIT_020012mg
KQL27924	SETIT_020589mg
KQL27925	SETIT_017266mg
KQL27926	SETIT_016222mg
KQL27927	SETIT_017677mg
KQL27929	SETIT_018983mg
KQL27930	SETIT_019023mg
KQL27932	SETIT_019420mg
KQL27934	SETIT_016987mg
KQL27937	SETIT_020652mg
KQL27940	SETIT_020110mg
KQL27941	SETIT_016646mg
KQL27948	SETIT_017680mg
KQL27951	SETIT_017780mg
KQL27953	SETIT_017348mg
KQL27954	SETIT_016636mg
KQL27961	SETIT_018125mg
KQL27964	SETIT_018792mg
KQL27967	SETIT_020297mg
KQL27971	SETIT_019582mg
KQL27973	SETIT_017933mg
KQL27974	SETIT_017933mg
KQL27976	SETIT_017933mg
KQL27975	SETIT_017933mg
KQL27978	SETIT_018035mg
