Gene	tpm_avg
ENSRNA049436356	0
ENSRNA049436407	0
ENSRNA049436865	0
ENSRNA049436890	0
ENSRNA049436977	0
ENSRNA049437188	0
ENSRNA049437207	0
ENSRNA049437220	0
ENSRNA049437392	0
ENSRNA049437502	0
ENSRNA049437591	0
ENSRNA049438015	0
ENSRNA049438097	0
ENSRNA049438473	0
ENSRNA049438522	0
ENSRNA049438783	0
ENSRNA049438828	0
ENSRNA049438917	0
ENSRNA049439003	0
ENSRNA049439048	0
ENSRNA049439226	0
ENSRNA049439238	0
ENSRNA049439479	0
ENSRNA049439505	0
ENSRNA049439510	0
ENSRNA049439548	0
ENSRNA049439594	0
ENSRNA049439668	0
ENSRNA049439718	0
ENSRNA049440390	0
ENSRNA049440638	0
ENSRNA049440673	0
ENSRNA049440721	0
ENSRNA049441053	0
ENSRNA049441130	0
ENSRNA049441255	0
ENSRNA049441438	0
ENSRNA049441507	0
ENSRNA049441585	0
ENSRNA049441601	0
ENSRNA049441711	0
ENSRNA049441734	0
ENSRNA049441925	0
ENSRNA049442037	0
ENSRNA049442066	0
ENSRNA049442138	0
ENSRNA049442187	0
ENSRNA049442339	0
ENSRNA049442373	0
ENSRNA049442413	0
ENSRNA049442463	0
ENSRNA049442498	0
ENSRNA049442567	0
ENSRNA049442678	0
ENSRNA049442699	0
ENSRNA049442771	0
ENSRNA049443062	0
ENSRNA049443107	0
ENSRNA049443167	0
ENSRNA049443235	0
ENSRNA049443288	0
ENSRNA049443413	0
ENSRNA049444086	0
ENSRNA049444126	0
ENSRNA049444170	0
ENSRNA049444201	0
ENSRNA049444222	0
ENSRNA049444240	0
ENSRNA049444312	0
ENSRNA049444321	0
ENSRNA049444337	0
ENSRNA049444394	0
ENSRNA049444410	0
ENSRNA049444424	0
ENSRNA049444492	0
ENSRNA049444525	0
ENSRNA049444535	0
ENSRNA049444774	0
ENSRNA049444870	0
ENSRNA049444878	0
ENSRNA049444884	0
ENSRNA049444940	0
ENSRNA049444972	0
ENSRNA049444986	0
ENSRNA049445015	0
ENSRNA049445071	0
ENSRNA049445101	0
ENSRNA049445147	0
ENSRNA049445158	0
ENSRNA049445185	0
ENSRNA049445195	0
ENSRNA049445201	0
ENSRNA049445211	0
ENSRNA049445250	0
ENSRNA049445318	0
ENSRNA049445322	0
ENSRNA049445379	0
ENSRNA049445397	0
ENSRNA049445483	0
ENSRNA049445545	0
ENSRNA049445553	0
ENSRNA049445666	0
ENSRNA049445675	0
ENSRNA049445707	0
ENSRNA049445726	0
ENSRNA049445739	0
ENSRNA049445782	0
ENSRNA049445789	0
ENSRNA049445817	0
ENSRNA049445974	0
ENSRNA049446004	0
ENSRNA049463750	10.627794
ENSRNA049463764	0.4186985
ENSRNA049463778	0
ENSRNA049465890	14.5867645
ENSRNA049468565	1.670472
ENSRNA049468575	0
ENSRNA049468584	8.1252905
ENSRNA049468628	0
ENSRNA049468671	0
ENSRNA049468679	0
ENSRNA049468691	0
ENSRNA049468729	0
ENSRNA049468737	0
ENSRNA049468746	0
ENSRNA049468784	0
ENSRNA049468822	0
ENSRNA049468921	0
ENSRNA049468928	0
ENSRNA049468934	0
ENSRNA049468937	10.6276925
ENSRNA049468953	0
ENSRNA049468963	0
ENSRNA049468970	0
ENSRNA049469007	0
ENSRNA049469020	0
ENSRNA049469036	0
ENSRNA049469047	0
ENSRNA049469080	0
ENSRNA049469087	0
ENSRNA049469191	0
ENSRNA049469198	0
ENSRNA049469210	0
ENSRNA049469435	0
ENSRNA049469461	0
ENSRNA049470424	20.456097
ENSRNA049470435	0
ENSRNA049470481	0
ENSRNA049470492	0
ENSRNA049470939	849.6082195
ENSRNA049471137	0
ENSRNA049471256	0
ENSRNA049471439	0
ENSRNA049471443	0
ENSRNA049471447	0
ENSRNA049471449	0
ENSRNA049471462	0
ENSRNA049471473	0
ENSRNA049471490	0
ENSRNA049471493	0
ENSRNA049471516	0
ENSRNA049471531	0
ENSRNA049471537	0
ENSRNA049471543	0
ENSRNA049471549	0
ENSRNA049471574	0
ENSRNA049471594	0
ENSRNA049471601	0
ENSRNA049471625	0
ENSRNA049471702	0
ENSRNA049471705	0
ENSRNA049471714	0
ENSRNA049472582	0
ENSRNA049474108	0
ENSRNA049474184	0
ENSRNA049474930	0
ENSRNA049475008	0
ENSRNA049475647	0
ENSRNA049475729	0
ENSRNA049476474	0
ENSRNA049476476	0
ENSRNA049476483	0
ENSRNA049476932	0
ENSRNA049476934	40.912194
ENSRNA049476938	0
ENSRNA049476979	0
ENSRNA049476982	0
ENSRNA049476990	0
ENSRNA049478834	10.6276925
ENSRNA049478842	0
ENSRNA049478845	0
ENSRNA049478851	0
ENSRNA049478859	0
ENSRNA049478863	0
ENSRNA049478870	0
ENSRNA049478879	0
ENSRNA049478883	0
ENSRNA049478892	0
ENSRNA049478902	0
ENSRNA049478906	0
ENSRNA049478914	0
ENSRNA049478920	0
ENSRNA049478922	0
ENSRNA049478932	0
ENSRNA049478934	0
ENSRNA049478940	0
ENSRNA049478943	0
ENSRNA049478964	0
ENSRNA049478991	0
ENSRNA049478998	0
ENSRNA049479597	0
ENSRNA049479617	0
ENSRNA049479619	0
ENSRNA049479621	0
ENSRNA049479625	0
ENSRNA049479628	0
ENSRNA049479636	0
ENSRNA049479638	0
ENSRNA049479640	0
ENSRNA049479644	0
ENSRNA049479646	0
ENSRNA049479648	0
ENSRNA049479652	0
ENSRNA049479654	0
ENSRNA049479661	0
ENSRNA049479668	0
ENSRNA049479671	0
ENSRNA049479677	0
ENSRNA049479681	0
ENSRNA049479687	0
ENSRNA049479694	0
ENSRNA049479704	0
ENSRNA049479706	0
ENSRNA049479710	0
ENSRNA049479714	0
ENSRNA049479718	0
ENSRNA049479723	0
ENSRNA049479726	0
ENSRNA049479727	0
ENSRNA049479732	0
ENSRNA049479735	0
ENSRNA049479741	0
ENSRNA049479743	0
ENSRNA049479746	0
ENSRNA049479749	0
ENSRNA049479752	0
ENSRNA049479757	0
ENSRNA049479762	0
ENSRNA049479766	0
ENSRNA049479769	0
ENSRNA049479771	0
ENSRNA049479775	0
ENSRNA049479786	0
ENSRNA049479787	0
ENSRNA049479791	0
ENSRNA049479799	0
ENSRNA049479802	0
ENSRNA049479811	0
ENSRNA049479813	0
ENSRNA049479815	0
ENSRNA049479818	0
ENSRNA049479824	0
ENSRNA049479833	0
ENSRNA049479834	0
ENSRNA049479836	0
ENSRNA049479841	0
ENSRNA049479846	0
ENSRNA049479851	0
ENSRNA049479857	0
ENSRNA049479860	0
ENSRNA049479862	0
ENSRNA049479866	0
ENSRNA049479872	0
ENSRNA049479876	0
ENSRNA049479878	0
ENSRNA049479882	0
ENSRNA049479887	0
ENSRNA049479893	0
ENSRNA049479897	0
ENSRNA049479903	0
ENSRNA049479906	0
ENSRNA049479911	0
ENSRNA049479914	0
ENSRNA049479923	0
