SampleID TotalMappedReads
SRR4115282 26959445
SRR4115283 24046810
SRR4115284 27298149
SRR4115285 27737859
SRR4115286 24387802
SRR4115287 32511301
SRR4115288 32415233
SRR4115289 24899392
SRR4115290 20999696
SRR4115291 23334856
SRR4115292 25339350
SRR4115293 28615119
SRR4115294 29271474
SRR4115295 23683046
SRR4115296 23204330
SRR4115297 20840695
SRR4115298 20045827
SRR4115299 23781659
SRR4115300 29968680
SRR4115301 27066677
SRR4115302 21408069
SRR4115303 22711583
SRR4115304 24255323
SRR4115305 27258494
SRR4115306 26705696
SRR4115307 27640213
SRR4115308 22099313
SRR4115309 21515624
SRR4115310 23018284
SRR4115311 27671200
SRR4115312 34181695
SRR4115313 25650655
SRR4115314 28556395
SRR4115315 28030107
SRR4115316 25213546
SRR4115317 28177520
SRR4115318 27738206
SRR4115319 28199580
SRR4115320 31502156
SRR4115321 25689211
SRR4115322 23727301
SRR4115323 22806168
SRR4115324 22766184
SRR4115325 27232631
SRR4115326 33395605
SRR4115327 25467251
SRR4115328 22527380
SRR4115329 23664940
SRR4115330 23344910
SRR4115331 27565343
SRR4115332 31026146
SRR4115333 24372496
SRR4115334 22511397
SRR4115335 22031628
SRR4115336 23124996
SRR4115337 28734448
SRR4115338 31317870
SRR4115339 24102770
SRR4115340 20794020
SRR4115341 20410131
SRR4115342 24465246
SRR4115344 25704258
SRR4115345 30429585
SRR4115346 26218532
SRR4115347 35743383
SRR4115348 30416029
SRR4115349 24690576
SRR4115351 34479066
SRR4115352 28250977
SRR4115353 26205570
SRR4115354 25169115
SRR4115355 33722823
SRR4115356 29627108
SRR4115357 24861764
SRR4115358 25068049
SRR4115359 36762478
SRR4115360 30162079
SRR4115361 26549861
SRR4115362 30672320
SRR4115363 36418032
SRR4115364 33177563
SRR4115365 30050005
SRR4115366 29042687
SRR4115367 36207970
SRR4115368 33858189
SRR4115369 27492747
SRR4115370 31574727
SRR4115371 37274694
SRR4115372 29484716
SRR4115373 28107576
SRR4115374 26463031
SRR4115375 37086551
SRR4115376 29231222
SRR4115377 24853980
SRR4115378 24162396
SRR4115379 41307804
SRR4115380 35186123
SRR4115381 27463441
SRR4115382 31921112
SRR4115383 41481269
SRR4115384 31852697
SRR4115385 24812076
SRR4115386 25471648
SRR4115387 38807611
SRR4115388 28741922
SRR4115389 29638524
SRR4115390 26993816
SRR4115391 36623354
SRR4115392 30767795
SRR4115393 26600212
SRR4115394 26449440
SRR4115395 35590403
SRR4115396 30550798
SRR4115397 25073345
SRR4115398 26792699
SRR4115399 36768557
SRR4115400 31957147
SRR4115401 27337315
SRR4115402 28436743
SRR4115403 28197167
SRR4115404 28234086
SRR4115405 39180623
SRR4115406 34624668
SRR4115407 29610219
SRR4115408 30354706
SRR4115409 27046091
SRR4115410 34014598
SRR4115350 23976997
