geneID	baseMean	log2FC_Vs-VS	log2FC_vs-Vs	log2FC_vs-VS	log2FC_vs-vS	log2FC_vS-Vs	log2FC_vS-VS	padj_Vs-VS	padj_vs-Vs	padj_vs-VS	padj_vs-vS	padj_vS-Vs	padj_vS-VS
AT1G01010	374.7400649	-0.031856009	2.046191653	2.014335644	0.923287568	1.122904085	1.091048076	1	1.68E-49	1.39E-46	1.15E-11	1.12E-14	1.63E-13
AT1G01020	138.4698218	-0.132245323	-0.66068777	-0.792933093	-0.566475394	-0.094212376	-0.2264577	1	0.000295844	1.41E-05	0.002787038	0.684338128	0.284827419
AT1G01030	207.9158424	0.290395139	0.372763361	0.6631585	-0.715894103	1.088657464	1.379052603	1	0.085743745	0.001960597	0.000642733	2.26E-07	7.43E-11
AT1G01040	436.60172	0.029900704	-0.491934973	-0.462034269	-0.093875774	-0.398059198	-0.368158494	1	6.53E-07	4.53E-06	0.422693265	0.000138602	0.000585001
AT1G01050	736.8519212	-0.143369291	0.175877279	0.032507987	0.159182225	0.016695053	-0.126674238	1	0.117984738	0.797389993	0.179039207	0.910698846	0.321462999
AT1G01060	2848.521948	0.010007642	-1.254891464	-1.244883822	1.526964035	-2.781855499	-2.771847857	1	2.79E-14	4.90E-14	1.16E-19	1.80E-63	6.33E-63
AT1G01070	81.96885752	-0.181249671	-0.435192071	-0.616441742	0.948737193	-1.383929263	-1.565178935	1	0.039564365	0.003148817	2.47E-05	4.33E-10	1.55E-12
AT1G01080	623.0959591	0.075933337	-1.388705837	-1.3127725	-0.755573589	-0.633132248	-0.557198911	1	7.31E-38	2.16E-33	1.82E-11	1.20E-08	8.58E-07
AT1G01090	1947.681853	-0.037124387	-0.128794237	-0.165918624	0.161033654	-0.289827891	-0.326952278	1	0.084333477	0.024992633	0.035607744	0.00010821	1.22E-05
AT1G01100	2241.225034	-0.028811418	-0.446195353	-0.475006772	-0.223064559	-0.223130794	-0.251942213	1	0.000678873	0.000297855	0.119714019	0.129526563	0.084603273
AT1G01110	53.29574288	0.324332602	-1.059831347	-0.735498745	-0.222911681	-0.836919666	-0.512587064	1	6.68E-07	0.001113687	0.389423993	0.00018199	0.036278142
AT1G01120	3644.587778	-0.036821397	0.52024361	0.483422212	1.051190902	-0.530947292	-0.567768689	1	0.009868395	0.017263987	1.36E-07	0.012867722	0.007605839
AT1G01130	63.06123981	0.038458264	0.452840297	0.49129856	0.780044678	-0.327204381	-0.288746118	1	0.039596468	0.028953244	0.000444463	0.202162777	0.280219761
AT1G01140	1420.017968	-0.218195976	-0.512726205	-0.730922182	0.13310535	-0.645831555	-0.864027531	1	0.003620831	2.56E-05	0.519487286	0.000404659	1.38E-06
AT1G01160	408.0024653	0.075373858	0.018073821	0.093447679	-0.041464592	0.059538413	0.134912271	1	0.91878517	0.584576044	0.828811399	0.764646206	0.463075655
AT1G01170	431.2368374	-0.178718056	-0.318150478	-0.496868534	0.300114379	-0.618264856	-0.796982912	1	0.003720539	4.35E-06	0.009726342	3.59E-08	7.36E-13
AT1G01180	139.6125018	-0.054500018	0.590031767	0.535531749	0.302703708	0.287328059	0.232828041	1	0.000972646	0.00336384	0.112656883	0.161106084	0.276531341
AT1G01200	32.52856958	0.025792251	-0.745905469	-0.720113218	-0.538432498	-0.207472971	-0.18168072	1	0.003460059	0.006123935	0.047201063	0.486351739	0.559224549
AT1G01210	112.2553873	-0.042891504	-0.98136374	-1.024255243	-0.94352593	-0.03783781	-0.080729314	1	4.81E-09	1.67E-09	2.86E-08	0.864914773	0.701740866
AT1G01220	276.0443673	-0.04674469	-0.494163714	-0.540908404	-0.157620961	-0.336542752	-0.383287443	1	2.65E-05	5.36E-06	0.239338095	0.007856407	0.002588351
AT1G01225	36.27319801	0.209394122	-1.066730493	-0.85733637	-0.782594821	-0.284135671	-0.074741549	1	0.000291533	0.005023391	0.011905783	0.404267555	0.848457552
AT1G01230	356.9585306	-0.035012647	0.173260408	0.138247761	-0.06915005	0.242410458	0.207397811	1	0.196221396	0.3175591	0.647998477	0.085440618	0.154657438
AT1G01240	107.4420039	0.152226123	-0.187967782	-0.035741659	0.678357965	-0.866325747	-0.714099624	1	0.459111449	0.900268439	0.005888738	0.000459763	0.005179229
