Run	Experiment
SRR4115405	varicose-15
SRR4115406	varicose-30
SRR4115410	varicose-480
SRR4115282	sov-0
SRR4115283	sov-7
SRR4115284	sov-15
SRR4115285	sov-30
SRR4115286	sov-60
SRR4115287	sov-120
SRR4115288	sov-240
SRR4115289	sov-480
SRR4115290	WT-0
SRR4115291	WT-7
SRR4115292	WT-15
SRR4115293	WT-30
SRR4115294	WT-60
SRR4115295	WT-120
SRR4115296	WT-240
SRR4115297	WT-480
SRR4115298	double-0
SRR4115299	double-7
SRR4115300	double-15
SRR4115301	double-30
SRR4115302	double-60
SRR4115303	double-120
SRR4115304	double-240
SRR4115305	double-480
SRR4115306	varicose-0
SRR4115307	varicose-7
SRR4115308	varicose-15
SRR4115309	varicose-30
SRR4115310	varicose-60
SRR4115311	varicose-120
SRR4115312	varicose-240
SRR4115313	varicose-480
SRR4115314	sov-0
SRR4115315	sov-7
SRR4115316	sov-15
SRR4115317	sov-30
SRR4115318	sov-60
SRR4115319	sov-120
SRR4115320	sov-240
SRR4115321	sov-480
SRR4115322	WT-0
SRR4115323	WT-7
SRR4115324	WT-15
SRR4115325	WT-30
SRR4115326	WT-60
SRR4115327	WT-120
SRR4115328	WT-240
SRR4115329	WT-480
SRR4115330	double-0
SRR4115331	double-7
SRR4115332	double-15
SRR4115333	double-30
SRR4115334	double-60
SRR4115335	double-120
SRR4115336	double-240
SRR4115337	double-480
SRR4115338	varicose-0
SRR4115339	varicose-7
SRR4115340	varicose-15
SRR4115341	varicose-30
SRR4115342	varicose-60
SRR4115344	varicose-120
SRR4115345	varicose-240
SRR4115346	varicose-480
SRR4115347	sov-0
SRR4115348	sov-7
SRR4115349	sov-15
SRR4115350	sov-30
SRR4115351	sov-60
SRR4115352	sov-120
SRR4115353	sov-240
SRR4115354	sov-480
SRR4115355	WT-0
SRR4115356	WT-7
SRR4115357	WT-15
SRR4115358	WT-30
SRR4115359	WT-60
SRR4115360	WT-120
SRR4115361	WT-240
SRR4115362	WT-480
SRR4115363	double-0
SRR4115364	double-7
SRR4115365	double-15
SRR4115366	double-30
SRR4115367	double-60
SRR4115368	double-120
SRR4115369	double-240
SRR4115370	double-480
SRR4115371	varicose-0
SRR4115372	varicose-7
SRR4115373	varicose-15
SRR4115374	varicose-30
SRR4115375	varicose-60
SRR4115376	varicose-120
SRR4115377	varicose-240
SRR4115378	varicose-480
SRR4115379	sov-0
SRR4115380	sov-7
SRR4115381	sov-15
SRR4115382	sov-30
SRR4115383	sov-60
SRR4115384	sov-120
SRR4115385	sov-240
SRR4115386	sov-480
SRR4115387	WT-0
SRR4115388	WT-7
SRR4115389	WT-15
SRR4115390	WT-30
SRR4115391	WT-60
SRR4115392	WT-120
SRR4115393	WT-240
SRR4115394	WT-480
SRR4115395	double-0
SRR4115396	double-7
SRR4115397	double-15
SRR4115398	double-30
SRR4115399	double-60
SRR4115400	double-120
SRR4115401	double-240
SRR4115402	double-480
SRR4115403	varicose-0
SRR4115404	varicose-7
SRR4115407	varicose-60
SRR4115408	varicose-120
SRR4115409	varicose-240
