gene	SRR1192255	SRR1192256	SRR1192257	SRR1192258	SRR1192259	SRR1192260
AT1G01010	35	30	65	32	40	40
AT1G01020	178	147	188	152	156	129
AT1G01030	71	69	76	39	52	50
AT1G01040	874	1187	1235	774	1163	1038
AT1G01046	8	8	7	2	4	4
AT1G01050	274	274	327	240	267	233
AT1G01060	138	153	122	742	874	545
AT1G01070	34	53	119	83	59	77
AT1G01080	1495	1464	1603	1038	1171	1012
AT1G01090	2977	3531	3224	2217	2553	2269
AT1G01100	3775	3520	3525	2000	2320	1820
AT1G01110	45	69	78	52	67	47
AT1G01120	1581	1920	1939	1762	1677	1930
AT1G01130	6	2	3	2	7	3
AT1G01140	1219	1354	1299	1311	1953	1451
AT1G01150	1	1	1	0	2	1
AT1G01160	319	300	219	238	275	234
AT1G01170	795	810	1196	714	779	677
AT1G01180	114	156	173	146	179	125
AT1G01183	0	0	0	0	0	0
AT1G01190	121	170	164	59	110	87
AT1G01200	14	10	14	10	4	2
AT1G01210	137	136	148	116	119	106
AT1G01220	1001	1136	1258	1070	1244	1187
AT1G01225	33	26	33	36	31	19
AT1G01230	215	194	276	202	181	198
AT1G01240	717	804	901	1048	1064	1107
AT1G01250	36	36	35	45	32	32
AT1G01260	527	512	547	327	476	429
AT1G01270	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0
AT1G01290	262	282	339	313	383	334
AT1G01300	520	694	567	397	446	426
AT1G01305	0	0	0	0	0	0
AT1G01310	0	2	0	0	1	0
AT1G01320	16234	16913	17563	12225	17009	15043
AT1G01335	0	0	1	0	0	0
AT1G01340	24	29	38	27	32	28
AT1G01350	448	433	454	381	448	434
AT1G01355	0	0	0	2	0	5
AT1G01360	106	93	116	90	100	87
AT1G01370	59	44	41	31	29	34
AT1G01380	10	5	3	4	15	7
AT1G01390	27	56	71	43	49	37
AT1G01400	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0
AT1G01420	42	65	92	46	69	88
AT1G01430	730	914	1064	767	814	799
AT1G01440	473	504	455	443	517	418
AT1G01448	132	101	143	214	228	240
AT1G01450	1	1	4	2	6	2
AT1G01453	0	0	0	0	0	0
AT1G01460	0	0	0	0	0	0
AT1G01470	540	718	925	612	621	769
AT1G01480	5	1	2	3	0	1
AT1G01490	942	1221	997	1145	1453	1109
AT1G01500	366	475	507	357	445	411
AT1G01510	606	697	604	517	547	477
AT1G01520	12	10	9	26	46	23
AT1G01530	0	0	0	0	0	0
AT1G01540	1284	1322	1307	1407	1341	1400
AT1G01550	2158	2034	2027	1945	2168	1865
AT1G01560	5	10	14	8	16	6
AT1G01570	23	35	42	30	39	33
AT1G01580	40	35	81	57	58	44
AT1G01590	3	0	2	6	10	7
AT1G01600	6	6	8	2	3	4
AT1G01610	831	988	982	797	890	840
AT1G01620	3741	4367	4505	3318	3584	3121
AT1G01630	1600	1647	1477	1328	1605	1389
AT1G01640	8	11	9	18	11	15
AT1G01650	350	332	356	365	461	377
AT1G01660	29	18	20	9	9	14
AT1G01670	31	26	28	31	37	30
AT1G01680	0	0	0	0	2	0
AT1G01690	118	104	96	90	98	88
AT1G01695	10	16	3	15	13	7
AT1G01700	48	55	41	34	49	46
AT1G01710	498	551	623	487	577	509
AT1G01715	28	14	11	18	28	21
AT1G01720	52	66	82	65	85	56
AT1G01725	43	37	66	41	48	30
AT1G01730	242	297	223	202	222	210
AT1G01740	121	128	163	217	237	197
AT1G01750	2	3	1	1	2	1
AT1G01760	103	86	109	113	120	87
AT1G01770	511	622	666	826	1099	1029
AT1G01780	102	108	118	181	209	223
AT1G01790	5254	5510	7077	5688	6575	5659
AT1G01800	656	725	820	730	770	642
AT1G01810	16	16	5	12	10	10
AT1G01820	669	697	700	612	782	675
AT1G01830	280	328	340	286	350	270
AT1G01840	38	35	24	14	29	17
AT1G01860	265	259	268	562	614	537
AT1G01870	0	0	0	0	0	0
AT1G01880	39	37	39	31	45	45
AT1G01890	0	0	0	0	0	0
AT1G01900	158	166	126	66	98	60
AT1G01910	907	967	897	734	926	874
AT1G01920	207	185	160	163	173	147
AT1G01930	409	494	500	383	489	395
AT1G01940	222	210	138	131	162	132
AT1G01950	427	457	411	350	416	358
AT1G01960	2719	3322	3456	2502	3166	3138
AT1G01970	1121	1088	1167	854	994	784
AT1G01980	0	0	0	0	0	0
AT1G01990	180	199	190	138	191	167
AT1G02000	165	168	157	156	166	210
AT1G02010	202	254	345	620	702	673
AT1G02020	76	89	106	66	120	120
AT1G02030	2	3	0	1	3	2
AT1G02040	0	0	0	0	0	0
AT1G02050	65	84	60	89	123	120
AT1G02060	66	105	124	96	127	124
AT1G02065	0	0	0	0	0	0
AT1G02067	0	0	0	0	0	0
AT1G02070	0	3	6	0	0	1
AT1G02080	2725	3107	3596	2289	2948	2588
AT1G02090	492	490	456	435	501	413
AT1G02100	375	384	451	644	843	732
AT1G02110	195	226	205	135	193	151
AT1G02120	679	709	752	628	906	742
AT1G02130	578	636	727	539	661	526
AT1G02140	1433	1385	1223	1002	1199	1001
AT1G02145	486	496	552	590	795	632
AT1G02150	2120	2339	2459	1541	1853	1626
AT1G02160	199	253	180	171	184	151
AT1G02170	173	234	254	225	268	248
AT1G02180	110	94	72	64	58	44
AT1G02190	1	2	0	3	2	0
AT1G02205	4210	3537	4444	2694	2264	2454
AT1G02210	0	0	0	0	0	0
AT1G02220	37	37	49	70	62	74
AT1G02230	7	12	23	12	15	23
AT1G02250	0	1	0	0	0	0
AT1G02260	137	182	185	155	188	160
AT1G02270	838	854	999	821	970	967
AT1G02280	2073	1674	1482	939	951	744
